40.3225,64.1025,67.5675,32.36,67.65,97.89497,14.8,87
41.3223,64.935,67.5675,34.31,60.65,97.8855,20.51,88
40.9836,65.7894,68.4931,35.16,58.82,97.88463,21.4,88
41.3223,65.7894,68.4931,36.04,52.2,97.88392,15.12,83
39.37,63.2911,65.7894,37.36,49.4,97.87686,56.09,83
38.4615,63.2911,65.7894,37.4,46.44,97.87652,15.01,88
38.4615,63.2911,65.7894,37.36,51.01,97.86224,10.09,86
9.4339,61.7283,66.6666,37.27,48.12,97.86637,10.53,85
39.0625,64.1025,64.935,36.86,50.35,97.87478,15.02,87
40.6504,64.1025,66.6666,36.84,49.12,97.87869,13.19,86
39.0625,63.2911,64.935,36.61,57.07,97.87515,17.19,87
38.4615,63.2911,65.7894,36.45,56.48,97.86734,27.27,87
38.4615,63.2911,64.935,36.81,54.4,97.86917,29.14,87
38.4615,63.2911,64.935,37.33,53.61,97.86492,30.24,88
38.4615,63.2911,65.7894,37.81,48.71,97.85299,25.68,86
37.8787,63.2911,64.935,38.13,51.24,97.85774,33.44,88
38.1679,63.2911,65.7894,38.61,51.02,97.85312,34.37,88
37.8787,63.2911,64.935,39.2,47.19,97.84774,32.91,88
37.8787,63.2911,65.7894,39.61,45.16,97.84917,31.88,87
37.8787,63.2911,65.7894,39.83,46.2,97.84374,34.19,87
37.5939,63.2911,64.935,40.04,45.35,97.83632,33.97,87
37.5939,63.2911,64.935,40.47,45.14,97.8567,34.23,87
37.5939,63.2911,64.935,40.7,43.3,97.85157,34.54,87
37.5939,63.2911,64.935,40.93,45.41,97.86589,36.83,87
37.5939,63.2911,64.935,41.04,41.89,97.86113,38.11,87
37.3134,64.1025,64.935,41.2,42.49,97.85557,36.02,87
37.5939,63.2911,64.935,41.31,42.35,97.84842,24.58,86
37.037,64.1025,64.1025,40.93,38.68,97.84764,20.89,85
36.7647,63.2911,64.1025,40.13,40.21,97.83831,17.53,85
36.7647,62.5,64.935,39.13,38.64,97.84369,18.11,86
36.4963,62.5,64.1025,38.36,42.92,97.84216,17.64,84
36.4963,62.5,64.935,37.81,42.09,97.8589,17.81,86
36.2318,62.5,64.935,37.31,47.83,97.85974,6.64,86
35.9712,62.5,64.935,36.61,43.39,97.86054,11.44,86
35.9712,63.2911,64.1025,35.83,50.91,97.85737,10.79,86
36.2318,62.5,64.1025,35.18,50.26,97.85319,10.16,84
35.7142,62.5,64.1025,34.63,44.71,97.84074,9.66,86
35.7142,62.5,64.1025,33.97,47.16,97.85082,9.39,85
35.7142,63.2911,64.935,33.66,54.48,97.84747,9.29,86
35.4609,64.1025,64.1025,33.25,49.05,97.84697,9.31,86
35.4609,63.2911,64.935,32.97,47.98,97.84767,9.37,86
35.2112,63.2911,64.935,32.7,49.37,97.84591,9.39,86
34.965,64.1025,64.1025,32.59,62.36,97.84749,9.4,86
35.2112,64.1025,64.1025,32.38,56.72,97.84719,9.35,86
34.7222,64.1025,64.1025,32.24,63.44,97.84511,9.21,86
34.965,63.2911,64.1025,32.18,62.45,97.84612,9.08,86
34.965,63.2911,64.1025,32.16,60.16,97.84097,9.05,86
